delay0,distance0,delay1,distance1,evm0,evm1,ber0,ber1,ser0,ser1
-118157.8,0.8002075419935863,-118161.8,0.650311313002021,-17.120831449726627,-20.395566862691457,0.0015765765765765765,0.0,0.006306306306306306,0.0
-118158.0,0.740249050395505,-118161.8,0.650311313002021,-14.968811919453216,-14.544332340414579,0.009309309309309309,0.007207207207207207,0.03663663663663664,0.02882882882882883
-118158.09999999999,0.7102698046001024,-118161.7,0.6802905587974237,5.99445452718781,-17.904789702015925,0.49774774774774777,0.0015015015015015015,0.9378378378378378,0.006006006006006006
-118158.09999999999,0.7102698046001024,-118162.1,0.5603735756012611,-15.152987254918655,-16.450009730702714,0.00563063063063063,0.003078078078078078,0.02252252252252252,0.012312312312312312
-118158.09999999999,0.7102698046001024,-118161.7,0.6802905587974237,-15.174299742257304,5.004733815378564,0.004954954954954955,0.4882132132132132,0.01981981981981982,0.9279279279279279
-118158.0,0.740249050395505,-118162.0,0.5903528214039397,-12.371654140799528,-16.824408981758054,0.021396396396396396,0.0024024024024024023,0.08318318318318318,0.00960960960960961
-118158.5,0.5903528213966638,-118162.0,0.5903528214039397,-10.30179762030182,-17.839664025067417,0.03626126126126126,0.0012762762762762762,0.14084084084084084,0.005105105105105105
-118158.7,0.5303943297985825,-118161.90000000001,0.6203320671993424,7.272913078709875,6.1731766447307805,0.4906906906906907,0.49174174174174173,0.9327327327327327,0.9273273273273274
-118158.2,0.6802905587974237,-118161.90000000001,0.6203320671993424,-0.7067536028739296,-17.945172515027522,0.08618618618618619,0.0011261261261261261,0.2882882882882883,0.0045045045045045045
-118158.2,0.6802905587974237,-118161.8,0.650311313002021,1.0819699821111415,-17.806501688493242,0.19534534534534534,0.0009009009009009009,0.587987987987988,0.0036036036036036037
-118153.79999999999,1.9993773739988683,-118162.0,0.5903528214039397,4.046062440669888,-19.024139133082514,0.4978978978978979,0.0012762762762762762,0.9387387387387387,0.005105105105105105
-118157.09999999999,1.0100622625977849,-118162.2,0.5303943298058584,12.338342667389025,-19.738903176282435,0.22837837837837838,0.00045045045045045046,0.6432432432432432,0.0018018018018018018
